"DATASET_YR","REPRJ_ID","INUN_ID","ACAD_YR","EXP_I","TUIT_OVERALL_FT_D","TUIT_AREA_FT_D","TUIT_STATE_FT_D","TUIT_NRES_FT_D","FEES_FT_D","TUIT_OVERALL_PT_D","TUIT_OVERALL_PT_UNIT","TUIT_AREA_PT_D","TUIT_AREA_PT_UNIT","TUIT_STATE_PT_D","TUIT_STATE_PT_UNIT","TUIT_NRES_PT_D","TUIT_NRES_PT_UNIT","RM_BD_D","RM_ONLY_D","COMP_FEE_D","EXPENSE_T","TAKEN_N","TAKEN_UNIT","CURRENCY_CODE","TUIT_INTL_FT_D","BOOKS_RES_D","BOOKS_COMMUTE_HOME_D","BOOKS_COMMUTE_NOT_HOME_D","RM_RES_D","RM_COMMUTE_HOME_D","RM_COMMUTE_NOT_HOME_D","BD_RES_D","BD_COMMUTE_HOME_D","BD_COMMUTE_NOT_HOME_D","TRANSPORT_RES_D","TRANSPORT_COMMUTE_HOME_D","TRANSPORT_COMMUTE_NOT_HOME_D","OTH_RES_D","OTH_COMMUTE_HOME_D","OTH_COMMUTE_NOT_HOME_D","TOT_RES_D","TOT_COMMUTE_HOME_D","TOT_COMMUTE_NOT_HOME_D","FEES_ONE_TIME_D","FEES_PT_CRDT_D","FEES_PT_CRDT_UNIT","FEES_PT_TERM_D","FEES_PT_TERM_UNIT","TUIT_VARY_PROG","TUIT_VARY_LOC","TUIT_VARY_TIME","TUIT_VARY_LOAD","TUIT_VARY_COURSE_LVL","TUIT_VARY_DEG","TUIT_VARY_RECIPROCITY","TUIT_VARY_STUD","RM_BD_VARY_BD","RM_BD_VARY_LOC","RM_BD_VARY_GENDER","RM_BD_VARY_HOUS","RM_BD_VARY_STUD","TUIT_PLAN_GUAR","TUIT_PLAN_PREPAY","TUIT_PLAN_INSTALL","TUIT_PLAN_DEFER","TUIT_WAIV_MINORITY","TUIT_WAIV_ALUMNI","TUIT_WAIV_EMPLOYEE","TUIT_WAIV_ADULT","TUIT_WAIV_SENIOR","FEES_PT_CRDT_2_D","FEES_PT_CRDT_2_UNIT","FEES_PT_TERM_2_D","FEES_PT_TERM_2_UNIT","FEES_FT_TERM_D","FEES_FT_TERM_UNIT","FEES_PT_ONE_TIME_D","RM_BD_GR_MARRY_D","RM_BD_GR_SINGLE_D","RM_ONLY_GR_MARRY_D","RM_ONLY_GR_SINGLE_D","TUIT_VARY_RELIGION","FEES_ALT_FT_D","TUIT_ALT_FT_D","EXPENSE_T_ALT","URL_ADDRESS_PRICE_CALC"
2020,12,5330,2019,"O",42880.00,,,,1260.00,1560.00,"C",,,,,,,18360.00,,,,,,"USD",,474.00,474.00,474.00,,,,,,,967.00,967.00,967.00,1203.00,1203.00,1203.00,,,,,,,,,,,,,,,,,,,,,,"N","Y",,"X",,,"X",,,,,,,,,,,,,,,,,,
2020,12,5330,2020,"O",44360.00,,,,1300.00,1615.00,"R",,,,,,,18640.00,,,,,,"USD",,474.00,474.00,474.00,,,,,,,967.00,967.00,967.00,1203.00,1203.00,1203.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,12,5330,2021,"O",45890.00,,,,1340.00,1670.00,"R",,,,,,,18830.00,,,,,,"USD",,1000.00,1000.00,1000.00,,,,,,,990.00,990.00,990.00,1250.00,1250.00,1250.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,12,6717,2019,"O",47434.00,,,,202.00,1482.00,"R",,,,,,,10984.00,6878.00,,,8,"E","USD",,800.00,800.00,800.00,,,6878.00,,2200.00,4106.00,,,,1600.00,1000.00,1600.00,,,,,,,,,,,,,,,,,,,,"X",,"N","N","X",,,,"X",,,,,,,,,,,,,,,,,,"https://tcc.ruffalonl.com/Illinois%20Wesleyan%20University/Freshman-Students"
2020,12,6717,2020,"O",49284.00,,,,202.00,1540.00,"R",,,,,,,11412.00,7146.00,,,8,"E","USD",,800.00,800.00,800.00,,,7146.00,,,4266.00,0.00,1050.00,0.00,1600.00,1000.00,1600.00,,,,,,,,,,,,,,,,,,,,"X",,"N","N","X",,,,"X",,,,,,,,,,,,,,,,,,"https://tcc.ruffalonl.com/Illinois%20Wesleyan%20University/Freshman-Students"
2020,12,6717,2021,"O",51132.00,,,,204.00,1598.00,"R",,,,,,,11840.00,7414.00,,,8,,"USD",,800.00,800.00,800.00,,,7414.00,,2250.00,4426.00,0.00,1150.00,0.00,1700.00,1000.00,1700.00,,,,,,,,,,,,,,,,,,,,"X",,"N","N","X",,,,"X",,,,,,,,,,,,,,,,,,"https://tcc.ruffalonl.com/Illinois%20Wesleyan%20University/Freshman-Students"
2020,12,8080,2019,"O",,,1000.00,5000.00,2417.30,,,,,,,,,9116.00,4800.00,,,30,"C","USD",,1505.00,1505.00,1505.00,,,,,,,1675.00,1730.00,1730.00,1500.00,1500.00,1500.00,,,,,,,,,"B","B",,"B",,,,,"X","X",,"X",,"N","Y","X",,,,"X",,,,,,,,,,,,,,,,,,"https://www.uncp.edu/sites/default/files/netcalc/index.html"
2020,12,8080,2020,"O",,,1000.00,5000.00,241.00,,,,,,,,,,,,,30,"C","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N","Y",,,,,,,,,,,,,,,,,,,,,,,"https://www.uncp.edu/sites/default/files/netcalc/index.html"
2020,12,8080,2021,"O",,1000.00,1000.00,5000.00,2490.00,,,,,,,,,8924.00,,,,30,"C","USD",5000.00,1505.00,1505.00,1505.00,,,,,,,1675.00,1730.00,1730.00,1566.00,1566.00,1566.00,,,,,,,,,,,,,,,,,,,,,,"N","Y",,,,,,,,,,,,,,,,,,,,,,,"https://www.uncp.edu/sites/default/files/netcalc/index.html"
2020,12,9726,2019,"O",24870.00,,,,730.00,380.00,"R",,,,,,,6952.00,3102.00,,,30,"C","USD",,1250.00,1250.00,1250.00,,,6124.00,,0.00,0.00,1226.00,1150.00,1898.00,2676.00,2010.00,2832.00,,,,,19.00,"R",,,"B","B","B","B",,"B",,,,,,"X",,"N","N","X",,,,"X",,"X",,,,,,,,,,,,,,,,"https://www.wmpenn.edu/admissions-aid/financial-aid/net-price-calculator/"
